example_id                                             | status | run_time        |
------------------------------------------------------ | ------ | --------------- |
./spec/models/assessment_spec.rb[1:1:1]                | passed | 0.00171 seconds |
./spec/models/assessment_spec.rb[1:1:2]                | passed | 0.00096 seconds |
./spec/models/assessment_spec.rb[1:1:3]                | passed | 0.00138 seconds |
./spec/models/assessment_spec.rb[1:2:1]                | passed | 0.00877 seconds |
./spec/models/assessor_override_spec.rb[1:1:1]         | passed | 0.00623 seconds |
./spec/models/assessor_override_spec.rb[1:1:2]         | passed | 0.10163 seconds |
./spec/models/portfolio_spec.rb[1:1:1]                 | passed | 0.00475 seconds |
./spec/models/portfolio_spec.rb[1:1:2]                 | passed | 0.00401 seconds |
./spec/models/portfolio_spec.rb[1:2:1]                 | passed | 0.00197 seconds |
./spec/models/session_spec.rb[1:1:1]                   | passed | 0.00359 seconds |
./spec/models/session_spec.rb[1:1:2]                   | passed | 0.00384 seconds |
./spec/models/session_spec.rb[1:1:3]                   | passed | 0.00353 seconds |
./spec/models/session_spec.rb[1:2:1]                   | passed | 0.00455 seconds |
./spec/models/vacancy_spec.rb[1:1:1]                   | passed | 0.00069 seconds |
./spec/models/vacancy_spec.rb[1:1:2]                   | passed | 0.00639 seconds |
./spec/models/vacancy_spec.rb[1:2:1]                   | passed | 0.03046 seconds |
./spec/requests/api/v1/assessments_spec.rb[1:1:1]      | passed | 0.02581 seconds |
./spec/requests/api/v1/assessments_spec.rb[1:2:1]      | passed | 0.03228 seconds |
./spec/requests/api/v1/portfolio_skills_spec.rb[1:1:1] | passed | 0.02214 seconds |
./spec/requests/api/v1/portfolio_skills_spec.rb[1:1:2] | passed | 0.01535 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:1:1]       | passed | 0.02359 seconds |
./spec/requests/api/v1/portfolios_spec.rb[1:2:1]       | passed | 0.02486 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1:1]         | passed | 0.07997 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:2:1]         | passed | 0.08769 seconds |
./spec/requests/api/v1/vacancies_spec.rb[1:1:1]        | passed | 0.01468 seconds |
./spec/requests/api/v1/vacancies_spec.rb[1:2:1]        | passed | 0.01685 seconds |
./spec/services/fit_gap/engine_spec.rb[1:1:1]          | passed | 0.03764 seconds |
./spec/services/fit_gap/engine_spec.rb[1:1:2]          | passed | 0.15625 seconds |
./spec/services/sessions/end_handler_spec.rb[1:1:1]    | passed | 0.06794 seconds |
./spec/services/sessions/start_handler_spec.rb[1:1:1]  | passed | 0.04778 seconds |
